02:59:04.030 [ApplicationImpl pooled thread 12] INFO  c.b.l.BrowserStackRunExtension - maven
02:59:04.033 [ApplicationImpl pooled thread 12] INFO  com.browserstack.utils.Helpers - null
03:46:16.579 [ApplicationImpl pooled thread 79] INFO  c.b.l.BrowserStackRunExtension - testng
03:46:16.579 [ApplicationImpl pooled thread 79] INFO  com.browserstack.utils.Helpers - null
03:46:16.580 [ApplicationImpl pooled thread 79] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:48:05.864 [ApplicationImpl pooled thread 87] INFO  c.b.l.BrowserStackRunExtension - testng
03:48:05.865 [ApplicationImpl pooled thread 87] INFO  com.browserstack.utils.Helpers - null
03:48:05.866 [ApplicationImpl pooled thread 87] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:55:46.553 [ApplicationImpl pooled thread 95] INFO  c.b.l.BrowserStackRunExtension - testng
03:55:46.554 [ApplicationImpl pooled thread 95] INFO  com.browserstack.utils.Helpers - null
03:55:46.554 [ApplicationImpl pooled thread 95] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:56:42.886 [ApplicationImpl pooled thread 92] INFO  c.b.l.BrowserStackRunExtension - testng
03:56:42.886 [ApplicationImpl pooled thread 92] INFO  com.browserstack.utils.Helpers - null
03:56:42.887 [ApplicationImpl pooled thread 92] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:57:15.619 [ApplicationImpl pooled thread 84] INFO  c.b.l.BrowserStackRunExtension - testng
03:57:15.620 [ApplicationImpl pooled thread 84] INFO  com.browserstack.utils.Helpers - null
03:57:15.620 [ApplicationImpl pooled thread 84] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:09:38.944 [ApplicationImpl pooled thread 106] INFO  c.b.l.BrowserStackRunExtension - testng
04:09:38.945 [ApplicationImpl pooled thread 106] INFO  com.browserstack.utils.Helpers - null
04:09:38.946 [ApplicationImpl pooled thread 106] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:10:32.080 [ApplicationImpl pooled thread 92] INFO  c.b.l.BrowserStackRunExtension - testng
04:10:32.080 [ApplicationImpl pooled thread 92] INFO  com.browserstack.utils.Helpers - null
04:10:32.080 [ApplicationImpl pooled thread 92] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:16:32.820 [ApplicationImpl pooled thread 111] INFO  c.b.l.BrowserStackRunExtension - testng
04:16:32.820 [ApplicationImpl pooled thread 111] INFO  com.browserstack.utils.Helpers - null
04:16:32.821 [ApplicationImpl pooled thread 111] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:17:06.700 [ApplicationImpl pooled thread 110] INFO  c.b.l.BrowserStackRunExtension - testng
04:17:06.700 [ApplicationImpl pooled thread 110] INFO  com.browserstack.utils.Helpers - null
04:17:06.701 [ApplicationImpl pooled thread 110] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:17:43.029 [ApplicationImpl pooled thread 110] INFO  c.b.l.BrowserStackRunExtension - testng
04:17:43.029 [ApplicationImpl pooled thread 110] INFO  com.browserstack.utils.Helpers - null
04:17:43.030 [ApplicationImpl pooled thread 110] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:28:02.431 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - testng
04:28:02.431 [ApplicationImpl pooled thread 121] INFO  com.browserstack.utils.Helpers - null
04:28:02.433 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:28:46.536 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - testng
