02:27:14.829 [ApplicationImpl pooled thread 22] INFO  c.b.l.BrowserStackRunExtension - maven
02:27:14.832 [ApplicationImpl pooled thread 22] INFO  com.browserstack.utils.Helpers - null
02:58:32.520 [ApplicationImpl pooled thread 60] INFO  c.b.l.BrowserStackRunExtension - testng
02:58:32.520 [ApplicationImpl pooled thread 60] INFO  com.browserstack.utils.Helpers - null
02:58:32.523 [ApplicationImpl pooled thread 60] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:33:16.611 [ApplicationImpl pooled thread 112] INFO  c.b.l.BrowserStackRunExtension - testng
03:33:16.611 [ApplicationImpl pooled thread 112] INFO  com.browserstack.utils.Helpers - null
03:33:16.613 [ApplicationImpl pooled thread 112] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:08:57.911 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - testng
04:08:57.912 [ApplicationImpl pooled thread 124] INFO  com.browserstack.utils.Helpers - null
04:08:57.913 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:09:59.460 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - testng
04:09:59.461 [ApplicationImpl pooled thread 124] INFO  com.browserstack.utils.Helpers - null
04:09:59.462 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:16:41.775 [ApplicationImpl pooled thread 137] INFO  c.b.l.BrowserStackRunExtension - testng
04:16:41.775 [ApplicationImpl pooled thread 137] INFO  com.browserstack.utils.Helpers - null
04:16:41.777 [ApplicationImpl pooled thread 137] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:22:03.256 [ApplicationImpl pooled thread 143] INFO  c.b.l.BrowserStackRunExtension - testng
04:22:03.257 [ApplicationImpl pooled thread 143] INFO  com.browserstack.utils.Helpers - null
04:22:03.259 [ApplicationImpl pooled thread 143] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:25:56.315 [ApplicationImpl pooled thread 156] INFO  c.b.l.BrowserStackRunExtension - testng
04:25:56.315 [ApplicationImpl pooled thread 156] INFO  com.browserstack.utils.Helpers - null
04:25:56.316 [ApplicationImpl pooled thread 156] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:29:42.606 [ApplicationImpl pooled thread 140] INFO  c.b.l.BrowserStackRunExtension - testng
04:29:42.606 [ApplicationImpl pooled thread 140] INFO  com.browserstack.utils.Helpers - null
04:29:42.608 [ApplicationImpl pooled thread 140] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:32:47.190 [ApplicationImpl pooled thread 157] INFO  c.b.l.BrowserStackRunExtension - testng
04:32:47.190 [ApplicationImpl pooled thread 157] INFO  com.browserstack.utils.Helpers - null
04:32:47.191 [ApplicationImpl pooled thread 157] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:35:06.373 [ApplicationImpl pooled thread 160] INFO  c.b.l.BrowserStackRunExtension - testng
04:35:06.373 [ApplicationImpl pooled thread 160] INFO  com.browserstack.utils.Helpers - null
04:35:06.374 [ApplicationImpl pooled thread 160] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:36:12.813 [ApplicationImpl pooled thread 163] INFO  c.b.l.BrowserStackRunExtension - testng
04:36:12.814 [ApplicationImpl pooled thread 163] INFO  com.browserstack.utils.Helpers - null
04:36:12.814 [ApplicationImpl pooled thread 163] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:37:28.852 [ApplicationImpl pooled thread 165] INFO  c.b.l.BrowserStackRunExtension - testng
04:37:28.852 [ApplicationImpl pooled thread 165] INFO  com.browserstack.utils.Helpers - null
04:37:28.854 [ApplicationImpl pooled thread 165] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:46:20.089 [ApplicationImpl pooled thread 171] INFO  c.b.l.BrowserStackRunExtension - testng
04:46:20.090 [ApplicationImpl pooled thread 171] INFO  com.browserstack.utils.Helpers - null
04:46:20.092 [ApplicationImpl pooled thread 171] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:49:27.057 [ApplicationImpl pooled thread 177] INFO  c.b.l.BrowserStackRunExtension - testng
04:49:27.058 [ApplicationImpl pooled thread 177] INFO  com.browserstack.utils.Helpers - null
04:49:27.060 [ApplicationImpl pooled thread 177] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:55:42.521 [ApplicationImpl pooled thread 182] INFO  c.b.l.BrowserStackRunExtension - testng
04:55:42.521 [ApplicationImpl pooled thread 182] INFO  com.browserstack.utils.Helpers - null
04:55:42.522 [ApplicationImpl pooled thread 182] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
05:00:49.510 [ApplicationImpl pooled thread 193] INFO  c.b.l.BrowserStackRunExtension - testng
05:00:49.510 [ApplicationImpl pooled thread 193] INFO  com.browserstack.utils.Helpers - null
05:00:49.513 [ApplicationImpl pooled thread 193] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
05:11:03.149 [ApplicationImpl pooled thread 196] INFO  c.b.l.BrowserStackRunExtension - testng
05:11:03.149 [ApplicationImpl pooled thread 196] INFO  com.browserstack.utils.Helpers - null
05:11:03.150 [ApplicationImpl pooled thread 196] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:57:47.962 [ApplicationImpl pooled thread 26] INFO  c.b.l.BrowserStackRunExtension - testng
02:57:47.964 [ApplicationImpl pooled thread 26] INFO  com.browserstack.utils.Helpers - null
02:57:47.965 [ApplicationImpl pooled thread 26] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:36:39.729 [ApplicationImpl pooled thread 52] INFO  c.b.l.BrowserStackRunExtension - testng
03:36:39.729 [ApplicationImpl pooled thread 52] INFO  com.browserstack.utils.Helpers - null
03:36:39.730 [ApplicationImpl pooled thread 52] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:37:45.204 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - testng
03:37:45.204 [ApplicationImpl pooled thread 54] INFO  com.browserstack.utils.Helpers - null
03:37:45.205 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:04:32.270 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - testng
02:04:32.275 [ApplicationImpl pooled thread 20] INFO  com.browserstack.utils.Helpers - null
02:04:32.278 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:09:14.750 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - testng
02:09:14.750 [ApplicationImpl pooled thread 28] INFO  com.browserstack.utils.Helpers - null
02:09:14.751 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:22:48.330 [ApplicationImpl pooled thread 38] INFO  c.b.l.BrowserStackRunExtension - testng
02:22:48.330 [ApplicationImpl pooled thread 38] INFO  com.browserstack.utils.Helpers - null
02:22:48.331 [ApplicationImpl pooled thread 38] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:23:36.882 [ApplicationImpl pooled thread 40] INFO  c.b.l.BrowserStackRunExtension - testng
02:23:36.883 [ApplicationImpl pooled thread 40] INFO  com.browserstack.utils.Helpers - null
02:23:36.884 [ApplicationImpl pooled thread 40] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:26:28.087 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - testng
02:26:28.087 [ApplicationImpl pooled thread 42] INFO  com.browserstack.utils.Helpers - null
02:26:28.088 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:32:36.675 [ApplicationImpl pooled thread 48] INFO  c.b.l.BrowserStackRunExtension - testng
02:32:36.676 [ApplicationImpl pooled thread 48] INFO  com.browserstack.utils.Helpers - null
02:32:36.678 [ApplicationImpl pooled thread 48] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:36:25.226 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - testng
02:36:25.226 [ApplicationImpl pooled thread 51] INFO  com.browserstack.utils.Helpers - null
02:36:25.227 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:39:09.085 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - testng
02:39:09.086 [ApplicationImpl pooled thread 54] INFO  com.browserstack.utils.Helpers - null
02:39:09.088 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:40:00.164 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - testng
02:40:00.164 [ApplicationImpl pooled thread 51] INFO  com.browserstack.utils.Helpers - null
02:40:00.165 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:40:55.931 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - testng
02:40:55.932 [ApplicationImpl pooled thread 55] INFO  com.browserstack.utils.Helpers - null
02:40:55.933 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:41:43.914 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - testng
02:41:43.914 [ApplicationImpl pooled thread 54] INFO  com.browserstack.utils.Helpers - null
02:41:43.915 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:42:27.284 [ApplicationImpl pooled thread 45] INFO  c.b.l.BrowserStackRunExtension - testng
02:42:27.284 [ApplicationImpl pooled thread 45] INFO  com.browserstack.utils.Helpers - null
02:42:27.286 [ApplicationImpl pooled thread 45] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:47:04.906 [ApplicationImpl pooled thread 57] INFO  c.b.l.BrowserStackRunExtension - testng
02:47:04.907 [ApplicationImpl pooled thread 57] INFO  com.browserstack.utils.Helpers - null
02:47:04.908 [ApplicationImpl pooled thread 57] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:50:21.011 [ApplicationImpl pooled thread 62] INFO  c.b.l.BrowserStackRunExtension - testng
02:50:21.012 [ApplicationImpl pooled thread 62] INFO  com.browserstack.utils.Helpers - null
02:50:21.013 [ApplicationImpl pooled thread 62] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:50:47.006 [ApplicationImpl pooled thread 62] INFO  c.b.l.BrowserStackRunExtension - testng
02:50:47.006 [ApplicationImpl pooled thread 62] INFO  com.browserstack.utils.Helpers - null
02:50:47.007 [ApplicationImpl pooled thread 62] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:51:26.905 [ApplicationImpl pooled thread 62] INFO  c.b.l.BrowserStackRunExtension - testng
02:51:26.905 [ApplicationImpl pooled thread 62] INFO  com.browserstack.utils.Helpers - null
02:51:26.906 [ApplicationImpl pooled thread 62] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:55:07.625 [ApplicationImpl pooled thread 65] INFO  c.b.l.BrowserStackRunExtension - testng
02:55:07.625 [ApplicationImpl pooled thread 65] INFO  com.browserstack.utils.Helpers - null
02:55:07.625 [ApplicationImpl pooled thread 65] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:57:19.252 [ApplicationImpl pooled thread 65] INFO  c.b.l.BrowserStackRunExtension - testng
02:57:19.252 [ApplicationImpl pooled thread 65] INFO  com.browserstack.utils.Helpers - null
02:57:19.253 [ApplicationImpl pooled thread 65] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:00:54.682 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - testng
03:00:54.682 [ApplicationImpl pooled thread 61] INFO  com.browserstack.utils.Helpers - null
03:00:54.682 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:02:14.317 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - testng
03:02:14.317 [ApplicationImpl pooled thread 61] INFO  com.browserstack.utils.Helpers - null
03:02:14.318 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:02:43.445 [ApplicationImpl pooled thread 72] INFO  c.b.l.BrowserStackRunExtension - testng
03:02:43.445 [ApplicationImpl pooled thread 72] INFO  com.browserstack.utils.Helpers - null
03:02:43.446 [ApplicationImpl pooled thread 72] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:03:06.655 [ApplicationImpl pooled thread 72] INFO  c.b.l.BrowserStackRunExtension - testng
03:03:06.655 [ApplicationImpl pooled thread 72] INFO  com.browserstack.utils.Helpers - null
03:03:06.655 [ApplicationImpl pooled thread 72] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:03:45.706 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - testng
03:03:45.706 [ApplicationImpl pooled thread 61] INFO  com.browserstack.utils.Helpers - null
03:03:45.709 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:25:52.102 [ApplicationImpl pooled thread 156] INFO  c.b.l.BrowserStackRunExtension - testng
16:25:52.102 [ApplicationImpl pooled thread 156] INFO  com.browserstack.utils.Helpers - null
16:25:52.103 [ApplicationImpl pooled thread 156] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:31:13.129 [ApplicationImpl pooled thread 158] INFO  c.b.l.BrowserStackRunExtension - testng
16:31:13.129 [ApplicationImpl pooled thread 158] INFO  com.browserstack.utils.Helpers - null
16:31:13.131 [ApplicationImpl pooled thread 158] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:33:46.559 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - testng
16:33:46.560 [ApplicationImpl pooled thread 161] INFO  com.browserstack.utils.Helpers - null
16:33:46.561 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:34:29.628 [ApplicationImpl pooled thread 172] INFO  c.b.l.BrowserStackRunExtension - testng
16:34:29.628 [ApplicationImpl pooled thread 172] INFO  com.browserstack.utils.Helpers - null
16:34:29.629 [ApplicationImpl pooled thread 172] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:37:40.966 [ApplicationImpl pooled thread 175] INFO  c.b.l.BrowserStackRunExtension - testng
16:37:40.967 [ApplicationImpl pooled thread 175] INFO  com.browserstack.utils.Helpers - null
16:37:40.968 [ApplicationImpl pooled thread 175] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:38:20.788 [ApplicationImpl pooled thread 176] INFO  c.b.l.BrowserStackRunExtension - testng
16:38:20.789 [ApplicationImpl pooled thread 176] INFO  com.browserstack.utils.Helpers - null
16:38:20.790 [ApplicationImpl pooled thread 176] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:39:28.945 [ApplicationImpl pooled thread 178] INFO  c.b.l.BrowserStackRunExtension - testng
16:39:28.945 [ApplicationImpl pooled thread 178] INFO  com.browserstack.utils.Helpers - null
16:39:28.946 [ApplicationImpl pooled thread 178] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:46:07.321 [ApplicationImpl pooled thread 184] INFO  c.b.l.BrowserStackRunExtension - testng
16:46:07.321 [ApplicationImpl pooled thread 184] INFO  com.browserstack.utils.Helpers - null
16:46:07.323 [ApplicationImpl pooled thread 184] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:49:40.150 [ApplicationImpl pooled thread 181] INFO  c.b.l.BrowserStackRunExtension - testng
16:49:40.151 [ApplicationImpl pooled thread 181] INFO  com.browserstack.utils.Helpers - null
16:49:40.153 [ApplicationImpl pooled thread 181] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:53:54.740 [ApplicationImpl pooled thread 167] INFO  c.b.l.BrowserStackRunExtension - testng
16:53:54.740 [ApplicationImpl pooled thread 167] INFO  com.browserstack.utils.Helpers - null
16:53:54.741 [ApplicationImpl pooled thread 167] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:58:42.893 [ApplicationImpl pooled thread 195] INFO  c.b.l.BrowserStackRunExtension - testng
16:58:42.893 [ApplicationImpl pooled thread 195] INFO  com.browserstack.utils.Helpers - null
16:58:42.894 [ApplicationImpl pooled thread 195] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:59:16.889 [ApplicationImpl pooled thread 197] INFO  c.b.l.BrowserStackRunExtension - testng
16:59:16.889 [ApplicationImpl pooled thread 197] INFO  com.browserstack.utils.Helpers - null
16:59:16.889 [ApplicationImpl pooled thread 197] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:00:59.865 [ApplicationImpl pooled thread 167] INFO  c.b.l.BrowserStackRunExtension - testng
17:00:59.865 [ApplicationImpl pooled thread 167] INFO  com.browserstack.utils.Helpers - null
17:00:59.865 [ApplicationImpl pooled thread 167] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:02:17.471 [ApplicationImpl pooled thread 204] INFO  c.b.l.BrowserStackRunExtension - testng
17:02:17.471 [ApplicationImpl pooled thread 204] INFO  com.browserstack.utils.Helpers - null
17:02:17.472 [ApplicationImpl pooled thread 204] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:03:00.753 [ApplicationImpl pooled thread 205] INFO  c.b.l.BrowserStackRunExtension - testng
17:03:00.753 [ApplicationImpl pooled thread 205] INFO  com.browserstack.utils.Helpers - null
17:03:00.754 [ApplicationImpl pooled thread 205] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:05:18.852 [ApplicationImpl pooled thread 190] INFO  c.b.l.BrowserStackRunExtension - testng
17:05:18.852 [ApplicationImpl pooled thread 190] INFO  com.browserstack.utils.Helpers - null
17:05:18.853 [ApplicationImpl pooled thread 190] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
