01:59:17.158 [ApplicationImpl pooled thread 70] INFO  c.b.l.BrowserStackRunExtension - maven
01:59:17.162 [ApplicationImpl pooled thread 70] INFO  com.browserstack.utils.Helpers - null
02:38:09.633 [ApplicationImpl pooled thread 140] INFO  c.b.l.BrowserStackRunExtension - testng
02:38:09.634 [ApplicationImpl pooled thread 140] INFO  com.browserstack.utils.Helpers - null
02:38:09.637 [ApplicationImpl pooled thread 140] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
02:39:34.051 [ApplicationImpl pooled thread 133] INFO  c.b.l.BrowserStackRunExtension - testng
02:39:34.051 [ApplicationImpl pooled thread 133] INFO  com.browserstack.utils.Helpers - null
02:39:34.053 [ApplicationImpl pooled thread 133] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:07:04.042 [ApplicationImpl pooled thread 172] INFO  c.b.l.BrowserStackRunExtension - testng
03:07:04.042 [ApplicationImpl pooled thread 172] INFO  com.browserstack.utils.Helpers - null
03:07:04.044 [ApplicationImpl pooled thread 172] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:07:41.491 [ApplicationImpl pooled thread 164] INFO  c.b.l.BrowserStackRunExtension - testng
03:07:41.491 [ApplicationImpl pooled thread 164] INFO  com.browserstack.utils.Helpers - null
03:07:41.493 [ApplicationImpl pooled thread 164] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:36:24.985 [ApplicationImpl pooled thread 185] INFO  c.b.l.BrowserStackRunExtension - testng
03:36:24.986 [ApplicationImpl pooled thread 185] INFO  com.browserstack.utils.Helpers - null
03:36:24.987 [ApplicationImpl pooled thread 185] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:38:14.078 [ApplicationImpl pooled thread 196] INFO  c.b.l.BrowserStackRunExtension - testng
03:38:14.078 [ApplicationImpl pooled thread 196] INFO  com.browserstack.utils.Helpers - null
03:38:14.079 [ApplicationImpl pooled thread 196] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:39:27.818 [ApplicationImpl pooled thread 185] INFO  c.b.l.BrowserStackRunExtension - testng
03:39:27.819 [ApplicationImpl pooled thread 185] INFO  com.browserstack.utils.Helpers - null
03:39:27.820 [ApplicationImpl pooled thread 185] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:49:35.780 [ApplicationImpl pooled thread 203] INFO  c.b.l.BrowserStackRunExtension - testng
03:49:35.780 [ApplicationImpl pooled thread 203] INFO  com.browserstack.utils.Helpers - null
03:49:35.781 [ApplicationImpl pooled thread 203] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:50:43.992 [ApplicationImpl pooled thread 203] INFO  c.b.l.BrowserStackRunExtension - testng
03:50:43.992 [ApplicationImpl pooled thread 203] INFO  com.browserstack.utils.Helpers - null
03:50:43.994 [ApplicationImpl pooled thread 203] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:55:41.747 [ApplicationImpl pooled thread 203] INFO  c.b.l.BrowserStackRunExtension - testng
03:55:41.747 [ApplicationImpl pooled thread 203] INFO  com.browserstack.utils.Helpers - null
03:55:41.748 [ApplicationImpl pooled thread 203] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:56:17.987 [ApplicationImpl pooled thread 209] INFO  c.b.l.BrowserStackRunExtension - testng
03:56:17.988 [ApplicationImpl pooled thread 209] INFO  com.browserstack.utils.Helpers - null
03:56:17.988 [ApplicationImpl pooled thread 209] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:59:26.438 [ApplicationImpl pooled thread 208] INFO  c.b.l.BrowserStackRunExtension - testng
03:59:26.438 [ApplicationImpl pooled thread 208] INFO  com.browserstack.utils.Helpers - null
03:59:26.439 [ApplicationImpl pooled thread 208] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:07:39.522 [ApplicationImpl pooled thread 214] INFO  c.b.l.BrowserStackRunExtension - testng
04:07:39.522 [ApplicationImpl pooled thread 214] INFO  com.browserstack.utils.Helpers - null
04:07:39.523 [ApplicationImpl pooled thread 214] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:34:45.465 [ApplicationImpl pooled thread 231] INFO  c.b.l.BrowserStackRunExtension - testng
04:34:45.465 [ApplicationImpl pooled thread 231] INFO  com.browserstack.utils.Helpers - null
04:34:45.466 [ApplicationImpl pooled thread 231] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
05:12:34.543 [ApplicationImpl pooled thread 263] INFO  c.b.l.BrowserStackRunExtension - testng
05:12:34.543 [ApplicationImpl pooled thread 263] INFO  com.browserstack.utils.Helpers - null
05:12:34.544 [ApplicationImpl pooled thread 263] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
05:14:11.043 [ApplicationImpl pooled thread 234] INFO  c.b.l.BrowserStackRunExtension - testng
05:14:11.043 [ApplicationImpl pooled thread 234] INFO  com.browserstack.utils.Helpers - null
05:14:11.044 [ApplicationImpl pooled thread 234] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
05:14:44.784 [ApplicationImpl pooled thread 264] INFO  c.b.l.BrowserStackRunExtension - testng
05:14:44.784 [ApplicationImpl pooled thread 264] INFO  com.browserstack.utils.Helpers - null
05:14:44.786 [ApplicationImpl pooled thread 264] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:47:34.059 [ApplicationImpl pooled thread 313] INFO  c.b.l.BrowserStackRunExtension - testng
15:47:34.059 [ApplicationImpl pooled thread 313] INFO  com.browserstack.utils.Helpers - null
15:47:34.060 [ApplicationImpl pooled thread 313] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:52:09.561 [ApplicationImpl pooled thread 323] INFO  c.b.l.BrowserStackRunExtension - testng
15:52:09.561 [ApplicationImpl pooled thread 323] INFO  com.browserstack.utils.Helpers - null
15:52:09.563 [ApplicationImpl pooled thread 323] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:53:12.218 [ApplicationImpl pooled thread 320] INFO  c.b.l.BrowserStackRunExtension - testng
15:53:12.219 [ApplicationImpl pooled thread 320] INFO  com.browserstack.utils.Helpers - null
15:53:12.219 [ApplicationImpl pooled thread 320] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:00:36.542 [ApplicationImpl pooled thread 331] INFO  c.b.l.BrowserStackRunExtension - testng
16:00:36.543 [ApplicationImpl pooled thread 331] INFO  com.browserstack.utils.Helpers - null
16:00:36.544 [ApplicationImpl pooled thread 331] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:01:17.894 [ApplicationImpl pooled thread 328] INFO  c.b.l.BrowserStackRunExtension - testng
