05:31:03.589 [ApplicationImpl pooled thread 24] INFO  c.b.l.BrowserStackRunExtension - maven
05:31:03.593 [ApplicationImpl pooled thread 24] INFO  com.browserstack.utils.Helpers - null
06:19:30.940 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
06:19:30.941 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
06:19:30.942 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
06:21:11.978 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - testng
06:21:11.978 [ApplicationImpl pooled thread 90] INFO  com.browserstack.utils.Helpers - null
06:21:11.980 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
06:22:12.048 [ApplicationImpl pooled thread 92] INFO  c.b.l.BrowserStackRunExtension - testng
06:22:12.049 [ApplicationImpl pooled thread 92] INFO  com.browserstack.utils.Helpers - null
06:22:12.051 [ApplicationImpl pooled thread 92] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
06:22:56.373 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
06:22:56.373 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
06:22:56.374 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
06:37:53.461 [ApplicationImpl pooled thread 106] INFO  c.b.l.BrowserStackRunExtension - testng
06:37:53.463 [ApplicationImpl pooled thread 106] INFO  com.browserstack.utils.Helpers - null
06:37:53.466 [ApplicationImpl pooled thread 106] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
06:45:23.441 [ApplicationImpl pooled thread 112] INFO  c.b.l.BrowserStackRunExtension - testng
06:45:23.442 [ApplicationImpl pooled thread 112] INFO  com.browserstack.utils.Helpers - null
06:45:23.444 [ApplicationImpl pooled thread 112] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
06:46:31.374 [ApplicationImpl pooled thread 115] INFO  c.b.l.BrowserStackRunExtension - testng
06:46:31.375 [ApplicationImpl pooled thread 115] INFO  com.browserstack.utils.Helpers - null
06:46:31.378 [ApplicationImpl pooled thread 115] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
06:49:00.500 [ApplicationImpl pooled thread 120] INFO  c.b.l.BrowserStackRunExtension - testng
06:49:00.500 [ApplicationImpl pooled thread 120] INFO  com.browserstack.utils.Helpers - null
06:49:00.500 [ApplicationImpl pooled thread 120] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
06:51:15.056 [ApplicationImpl pooled thread 123] INFO  c.b.l.BrowserStackRunExtension - testng
06:51:15.056 [ApplicationImpl pooled thread 123] INFO  com.browserstack.utils.Helpers - null
06:51:15.058 [ApplicationImpl pooled thread 123] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
06:51:54.099 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - testng
06:51:54.099 [ApplicationImpl pooled thread 124] INFO  com.browserstack.utils.Helpers - null
06:51:54.101 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
06:52:46.475 [ApplicationImpl pooled thread 123] INFO  c.b.l.BrowserStackRunExtension - testng
06:52:46.475 [ApplicationImpl pooled thread 123] INFO  com.browserstack.utils.Helpers - null
06:52:46.476 [ApplicationImpl pooled thread 123] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
06:53:46.724 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - testng
06:53:46.724 [ApplicationImpl pooled thread 124] INFO  com.browserstack.utils.Helpers - null
06:53:46.725 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
07:32:08.600 [ApplicationImpl pooled thread 175] INFO  c.b.l.BrowserStackRunExtension - testng
07:32:08.600 [ApplicationImpl pooled thread 175] INFO  com.browserstack.utils.Helpers - null
07:32:08.601 [ApplicationImpl pooled thread 175] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
07:33:51.595 [ApplicationImpl pooled thread 183] INFO  c.b.l.BrowserStackRunExtension - testng
07:33:51.595 [ApplicationImpl pooled thread 183] INFO  com.browserstack.utils.Helpers - null
07:33:51.596 [ApplicationImpl pooled thread 183] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
07:38:06.494 [ApplicationImpl pooled thread 178] INFO  c.b.l.BrowserStackRunExtension - testng
07:38:06.495 [ApplicationImpl pooled thread 178] INFO  com.browserstack.utils.Helpers - null
07:38:06.496 [ApplicationImpl pooled thread 178] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
07:39:07.539 [ApplicationImpl pooled thread 185] INFO  c.b.l.BrowserStackRunExtension - testng
07:39:07.540 [ApplicationImpl pooled thread 185] INFO  com.browserstack.utils.Helpers - null
07:39:07.540 [ApplicationImpl pooled thread 185] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
07:40:24.091 [ApplicationImpl pooled thread 189] INFO  c.b.l.BrowserStackRunExtension - testng
07:40:24.091 [ApplicationImpl pooled thread 189] INFO  com.browserstack.utils.Helpers - null
07:40:24.092 [ApplicationImpl pooled thread 189] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
